央视,#genre#
青海卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225958/index.m3u8
东南卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225964/index.m3u8
黑龙江卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225968/index.m3u8
黑龙江卫视,http://120.221.5.50:8089/PLTV/88888888/224/3221225968/index.m3u8
安徽卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225974/index.m3u8
四海钓鱼,http://120.221.5.113:8089/PLTV/88888888/224/3221225976/index.m3u8
甘肃卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225994/index.m3u8
云南卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221226031/index.m3u8
云南卫视,http://120.221.5.241:8089/PLTV/88888888/224/3221226031/index.m3u8
广西卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221226037/index.m3u8
广西卫视,http://120.221.5.239:8089/PLTV/88888888/224/3221226037/index.m3u8
陕西卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221226035/index.m3u8
内蒙古卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221226033/index.m3u8
河南卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221226041/index.m3u8
西藏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
宁夏卫视,http://cctvalih5ca.v.myalicdn.com/wstv/ningxia_2/index.m3u8
